stars-0000800,800,2377,1404,605,"0.4093395036",3
uniform-0000800-1,800,2379,1399,600,"0.411937789",3
uniform-0000800-2,800,2380,1423,624,"0.4021008403",3
us-night-0000800,800,2381,1419,620,"0.4040319194",3
euro-night-0000900,900,2684,1597,698,"0.4049925484",3
paris-0000900,900,2680,1581,682,"0.4100746269",3
stars-0000900,900,2679,1580,681,"0.4102276969",3
uniform-0000900-1,900,2683,1601,702,"0.4032799105",3
uniform-0000900-2,900,2678,1595,696,"0.4044062733",3
us-night-0000900,900,2678,1586,687,"0.4077669903",3
ortho_rect_union_904,904,2668,1178,275,"0.5584707646",3
ortho_rect_union_917,917,2704,1157,241,"0.5721153846",3
ortho_rect_union_923,923,2716,1153,231,"0.5754786451",3
rop0000958,958,2807,1172,215,"0.5824723905",2
rop0000995,995,2845,1205,211,"0.5764499121",2
euro-night-0001000,1000,2976,1769,770,"0.405577957",3
paris-0001000,1000,2973,1758,759,"0.4086781029",3
skylake-0001000,1000,2981,1764,765,"0.4082522643",3
uniform-0001000-1,1000,2982,1790,791,"0.3997317237",3
uniform-0001000-2,1000,2980,1764,765,"0.4080536913",3
us-night-0001000,1000,2984,1766,767,"0.4081769437",3
rop0001026,1026,2948,1240,215,"0.579375848",2
rop0001095,1095,3172,1303,209,"0.5892181589",2
rop0001144,1144,3298,1344,201,"0.5924802911",2
ortho_rect_union_1182,1182,3502,1462,281,"0.5825242718",3
ortho_rect_union_1198,1198,3554,1752,555,"0.5070343275",1
rop0001236,1236,3560,1436,201,"0.5966292135",2
rop0001240,1240,3619,1448,209,"0.5998894722",2
rop0001260,1260,3671,1448,189,"0.6055570689",2
ortho_rect_union_1301,1301,3850,1611,311,"0.5815584416",3
rop0001312,1312,3828,1480,169,"0.6133751306",3
rop0001358,1358,3961,1524,167,"0.6152486746",2
ortho_rect_union_1437,1437,4265,1768,332,"0.5854630715",3
ortho_rect_union_1472,1472,4366,1826,355,"0.5817682089",3
ortho_rect_union_1514,1514,4489,1860,347,"0.5856538204",3
ortho_rect_union_1604,1604,4761,1961,358,"0.5881117412",3
ortho_rect_union_1666,1666,4946,2045,380,"0.5865345734",3
ortho_rect_union_1728,1728,5141,2102,375,"0.5911301303",3
ortho_rect_union_1908,1908,5682,2318,411,"0.5920450546",3
euro-night-0002000,2000,5978,3506,1507,"0.4135162262",3
paris-0002000,2000,5979,3519,1520,"0.4114400401",3
skylake-0002000,2000,5980,3505,1506,"0.4138795987",3
uniform-0002000-1,2000,5977,3533,1534,"0.4089007863",3
uniform-0002000-2,2000,5978,3539,1540,"0.4079959853",3
us-night-0002000,2000,5979,3533,1534,"0.4090985115",3
ortho_rect_union_2006,2006,5966,2440,435,"0.591015756",3
ortho_rect_union_2326,2326,6902,2783,458,"0.596783541",3
ortho_rect_union_2392,2392,7136,2883,492,"0.5959921525",3
ortho_rect_union_2961,2961,8823,3574,614,"0.594922362",3
ortho_rect_union_2983,2983,8874,4329,1347,"0.5121703854",1
euro-night-0003000,3000,8974,5277,2278,"0.4119679073",3
paris-0003000,3000,8977,5310,2311,"0.4084883591",3
skylake-0003000,3000,8982,5232,2233,"0.41750167",3
uniform-0003000-1,3000,8976,5304,2305,"0.4090909091",3
uniform-0003000-2,3000,8972,5252,2253,"0.4146232724",3
us-night-0003000,3000,8980,5301,2302,"0.409688196",3
ortho_rect_union_3007,3007,8953,3594,588,"0.5985703116",3
ortho_rect_union_3091,3091,9199,3743,653,"0.5931079465",3
ortho_rect_union_3180,3180,9474,3777,598,"0.6013299557",3
ortho_rect_union_3205,3205,9561,3921,717,"0.5898964543",3
ortho_rect_union_3363,3363,10041,4000,638,"0.6016333035",3
euro-night-0004000,4000,11977,7001,3002,"0.4154629707",3
paris-0004000,4000,11975,7006,3007,"0.4149478079",3
skylake-0004000,4000,11972,7020,3021,"0.4136318076",3
uniform-0004000-1,4000,11975,7032,3033,"0.412776618",3
uniform-0004000-2,4000,11970,7004,3005,"0.4148705096",3
us-night-0004000,4000,11982,7060,3061,"0.4107828409",3
rop0004726,4726,14022,5219,494,"0.6277991727",2
rop0004841,4841,14359,5366,526,"0.6262970959",2
rop0004981,4981,14718,5467,487,"0.6285500747",2
rop0004994,4994,14808,5570,577,"0.6238519719",2
euro-night-0005000,5000,14969,8818,3819,"0.4109158928",3
paris-0005000,5000,14977,8772,3773,"0.4143019296",3
skylake-0005000,5000,14982,8760,3761,"0.415298358",3
uniform-0005000-1,5000,14971,8760,3761,"0.4148687462",3
uniform-0005000-2,5000,14978,8776,3777,"0.4140739752",3
us-night-0005000,5000,14978,8801,3802,"0.4124048605",3
rop0005072,5072,15063,5603,532,"0.6280289451",2
rop0005138,5138,15241,5656,519,"0.6288957417",2
rop0005151,5151,15207,5653,503,"0.6282632998",2
rop0005270,5270,15590,5788,519,"0.6287363695",2
rop0005404,5404,15940,5931,528,"0.6279171895",2
rop0005459,5459,16218,5998,540,"0.6301640153",2
rop0005670,5670,16806,6143,474,"0.6344757825",2
rop0005758,5758,17065,6244,487,"0.6341048931",2
euro-night-0006000,6000,17975,10537,4538,"0.4137969402",3
skylake-0006000,6000,17981,10507,4508,"0.4156609755",3
uniform-0006000-1,6000,17977,10512,4513,"0.4152528231",3
uniform-0006000-2,6000,17974,10515,4516,"0.4149883165",3
us-night-0006000,6000,17981,10561,4562,"0.4126578055",3
world-0006000,6000,17958,10527,4528,"0.413798864",3
euro-night-0007000,7000,20973,12321,5322,"0.4125303962",3
skylake-0007000,7000,20985,12258,5259,"0.4158684775",3
uniform-0007000-1,7000,20972,12326,5327,"0.412263971",3
uniform-0007000-2,7000,20971,12242,5243,"0.4162414763",3
us-night-0007000,7000,20980,12308,5309,"0.4133460439",3
world-0007000,7000,20961,12321,5322,"0.4121940747",3
ortho_rect_union_7113,7113,21275,8503,1391,"0.6003290247",3
ortho_rect_union_7663,7663,22935,9076,1414,"0.6042729453",3
ortho_rect_union_7781,7781,23279,11630,3850,"0.5004080931",1
ortho_rect_union_7889,7889,23573,11829,3941,"0.4981970899",2
ortho_rect_union_7925,7925,23692,11902,3978,"0.4976363329",2
euro-night-0008000,8000,23977,14060,6061,"0.4136047045",3
jupiter-0008000,8000,23969,14033,6034,"0.4145354416",3
uniform-0008000-1,8000,23974,14001,6002,"0.415992325",3
uniform-0008000-2,8000,23972,13959,5960,"0.4176956449",3
us-night-0008000,8000,23980,14078,6079,"0.4129274395",3
world-0008000,8000,23958,14065,6066,"0.4129309625",3
rop0008238,8238,24297,8694,457,"0.6421780467",2
rop0008348,8348,24617,8869,522,"0.6397205183",2
rop0008441,8441,25175,9570,1130,"0.6198609732",2
rop0008689,8689,25644,9119,431,"0.6444002496",2
ortho_rect_union_9000,9000,26948,14074,5075,"0.4777348968",2
euro-night-0009000,9000,26977,15862,6863,"0.4120176447",3
jupiter-0009000,9000,26967,15845,6846,"0.412430007",3
uniform-0009000-1,9000,26978,15759,6760,"0.4158573653",3
uniform-0009000-2,9000,26972,15740,6741,"0.4164318553",3
us-night-0009000,9000,26985,15841,6842,"0.4129701686",3
world-0009000,9000,26953,15875,6876,"0.4110117612",3
ortho_rect_union_9062,9062,27115,13874,4813,"0.488327494",1
ortho_rect_union_9118,9118,27300,11395,2278,"0.5826007326",3
ortho_rect_union_9121,9121,27299,11299,2179,"0.586102055",3
rop0009652,9652,28756,10466,815,"0.636041174",2
rop0009766,9766,28568,10776,1011,"0.6227947354",2
jupiter-0010000,10000,29972,18403,8404,"0.385993594",1
world-0010000,10000,29953,18382,8383,"0.3863052115",1
euro-night-0010000,10000,29979,17579,7580,"0.4136228693",3
uniform-0010000-1,10000,29972,17527,7528,"0.4152208728",3
uniform-0010000-2,10000,29972,17461,7462,"0.4174229281",3
us-night-0010000,10000,29975,17585,7586,"0.4133444537",3
rop0010050,10050,29925,10984,935,"0.6329490393",2
rop0010062,10062,29431,11060,999,"0.6242057694",2
rop0010165,10165,29660,11016,852,"0.6285906945",2
rop0010302,10302,30155,11180,879,"0.6292488808",2
rop0010461,10461,30667,11305,845,"0.6313627026",2
rop0010632,10632,31727,11420,789,"0.6400542125",2
rop0010851,10851,32346,11612,762,"0.641006616",2
rop0011256,11256,33584,12077,822,"0.6403942354",2
rop0011501,11501,34285,12348,848,"0.6398424967",2
rop0011619,11619,34691,12453,835,"0.6410308149",2
